,date,time,distance(m),speed(mm/s),heart_rate(bpm),position_lat,position_long
46,2018-12-10,07:46:10,583.08,4879,91,33.650060053914785,73.03300241008401
47,2018-12-10,07:46:14,605.04,4930,91,33.65023422986269,73.03288942202926
48,2018-12-10,07:46:17,628.68,5106,90,33.65041360259056,73.03275128826499
49,2018-12-10,07:46:20,643.62,5098,88,33.65051368251443,73.03264475427568
50,2018-12-10,07:46:25,661.44,4951,87,33.650500355288386,73.0324621964246
51,2018-12-10,07:46:28,667.46,4779,87,33.65047772414982,73.03240369074047
52,2018-12-10,07:46:32,670.7,4477,87,33.65045014768839,73.03241953253746
53,2018-12-10,07:46:33,672.14,2038,87,33.65043665282428,73.03241961635649
54,2018-12-10,07:46:38,678.22,1926,91,33.65038468502462,73.03244124166667
55,2018-12-10,07:46:39,679.25,1899,97,33.65037580020726,73.03244459442794
56,2018-12-10,07:46:40,679.96,1863,102,33.65036959759891,73.03244668990374
57,2018-12-10,07:46:41,680.36,1820,105,33.650366831570864,73.03244970738888
58,2018-12-10,07:46:42,680.96,1785,105,33.65036121569574,73.03245104849339
59,2018-12-10,07:46:43,681.88,1759,108,33.65035342052579,73.03245490416884
60,2018-12-10,07:46:44,682.87,1739,111,33.650343865156174,73.0324571672827
61,2018-12-10,07:46:45,683.45,1705,111,33.6503389198333,73.03245984949172
62,2018-12-10,07:46:46,683.99,1670,107,33.65033590234816,73.03246445953846
63,2018-12-10,07:46:48,687.33,1671,112,33.65031494759023,73.03249035961926
64,2018-12-10,07:46:50,690.94,1680,113,33.650286700576544,73.03250636905432
65,2018-12-10,07:46:52,693.31,1655,110,33.6502649076283,73.03250519558787
66,2018-12-10,07:46:55,697.16,1636,108,33.65023263730109,73.03248130716383
67,2018-12-10,07:46:57,701.91,1689,105,33.65019952878356,73.0324436724186
68,2018-12-10,07:47:02,708.26,1633,108,33.65016348659992,73.03238868713379
69,2018-12-10,07:47:04,710.7,1610,108,33.65014496259391,73.03237477317452
70,2018-12-10,07:47:13,717.13,652,112,33.650095174089074,73.0323435086757
71,2018-12-10,07:47:15,717.18,633,117,33.650097101926804,73.03234308958054
72,2018-12-10,07:47:17,718.45,639,120,33.65009944885969,73.0323567520827
73,2018-12-10,07:47:22,721.77,658,116,33.650115206837654,73.03238768130541
74,2018-12-10,07:47:23,722.21,653,112,33.65011420100927,73.03239220753312
75,2018-12-10,07:47:37,730.57,651,117,33.650096179917455,73.0324693210423
76,2018-12-10,07:47:38,731.43,655,120,33.65010380744934,73.03246756084263
77,2018-12-10,07:47:48,737.91,684,117,33.65015703253448,73.03251500241458
78,2018-12-10,07:47:57,741.29,656,114,33.65018486045301,73.03251801989973
79,2018-12-10,07:47:59,742.02,639,109,33.650184106081724,73.03252598270774
80,2018-12-10,07:48:02,742.02,611,106,33.6501800827682,73.03252598270774
81,2018-12-10,07:48:08,742.98,586,103,33.6501713655889,73.0325348675251
82,2018-12-10,07:48:14,746.32,593,100,33.65017069503665,73.03249471820891
83,2018-12-10,07:48:32,753.69,565,97,33.65014253184199,73.03245859220624
84,2018-12-10,07:48:41,761.09,768,94,33.65007849410176,73.0324452649802
85,2018-12-10,07:49:04,770.14,683,91,33.65010808221996,73.0324780382216
86,2018-12-10,07:49:15,776.75,695,88,33.65017069503665,73.03246160969138
87,2018-12-10,07:49:46,796.02,692,83,33.65016373805702,73.03244912065566
88,2018-12-10,07:49:54,801.1,697,88,33.650136329233646,73.03249991498888
89,2018-12-10,07:49:55,802.17,705,93,33.65013004280627,73.0325089674443
90,2018-12-10,07:49:56,803.03,708,98,33.65012576803565,73.03251667879522
91,2018-12-10,07:49:58,804.13,703,104,33.650119649246335,73.03252631798387
92,2018-12-10,07:49:59,804.5,697,108,33.6501179728657,73.03253017365932
93,2018-12-10,07:50:01,804.9,684,112,33.6501129437238,73.03253469988704
94,2018-12-10,07:50:07,806.7,647,109,33.65010833367705,73.03253981284797
95,2018-12-10,07:50:43,827.62,653,107,33.65009777247906,73.03234225139022
96,2018-12-10,07:50:49,833.64,1099,106,33.65008318796754,73.03227938711643
97,2018-12-10,07:50:57,841.35,924,103,33.65005795843899,73.03220093250275
98,2018-12-10,07:51:04,845.56,894,102,33.65004697814584,73.03215416148305
99,2018-12-10,07:51:13,849.28,507,99,33.65004136227071,73.03217612206936
100,2018-12-10,07:51:50,869.82,566,99,33.65007245913148,73.03216363303363
101,2018-12-10,07:51:56,873.85,583,102,33.65007254295051,73.03220545873046
102,2018-12-10,07:52:02,879.82,636,96,33.65008469671011,73.0322668980807
103,2018-12-10,07:52:03,880.75,645,96,33.65008603781462,73.03227687254548
104,2018-12-10,07:52:05,882.61,663,103,33.65009458735585,73.0322946421802
105,2018-12-10,07:52:06,883.63,675,106,33.650100119411945,73.03230394609272
106,2018-12-10,07:52:07,884.41,678,106,33.65010472945869,73.03231090307236
107,2018-12-10,07:52:12,887.48,685,103,33.65013021044433,73.0323342885822
108,2018-12-10,07:52:16,891.15,708,107,33.65015904419124,73.0323535669595
109,2018-12-10,07:52:31,901.75,735,103,33.65016784518957,73.03245892748237
110,2018-12-10,07:52:33,903.73,748,106,33.65015686489642,73.03247644566
111,2018-12-10,07:52:59,914.82,692,100,33.650161055848,73.03245892748237
112,2018-12-10,07:53:02,917.13,700,105,33.650160133838654,73.03248449228704
113,2018-12-10,07:53:03,918.17,707,105,33.650153344497085,73.03249270655215
114,2018-12-10,07:53:07,920.08,704,108,33.6501457169652,73.03251500241458
115,2018-12-10,07:53:26,931.99,710,102,33.650113781914115,73.03249186836183
116,2018-12-10,07:53:27,932.61,708,99,33.65011386573315,73.03248507902026
117,2018-12-10,07:54:07,944.08,535,102,33.650164157152176,73.03242456167936
118,2018-12-10,07:54:21,950.43,546,99,33.6501541826874,73.03240243345499
119,2018-12-10,07:54:32,953.95,535,96,33.65018779411912,73.03236270323396
120,2018-12-10,07:54:39,954.78,492,93,33.65019366145134,73.03235222585499
121,2018-12-10,07:54:48,955.4,429,90,33.650192487984896,73.03234862163663
122,2018-12-10,07:54:57,956.68,391,82,33.6501975171268,73.03235247731209
123,2018-12-10,07:54:58,957.22,396,82,33.65020237863064,73.03235524334013
124,2018-12-10,07:55:13,960.5,381,79,33.65022056736052,73.03237644955516
125,2018-12-10,07:55:35,964.82,345,82,33.650199277326465,73.03234996274114
126,2018-12-10,07:55:37,964.87,337,88,33.65019810386002,73.03235323168337
127,2018-12-10,07:55:38,964.87,334,88,33.65019659511745,73.0323538184166
128,2018-12-10,07:55:39,964.87,330,91,33.65019550547004,73.03235373459756
129,2018-12-10,07:56:05,968.17,294,85,33.650185111910105,73.0323551595211
130,2018-12-10,07:56:20,971.73,299,88,33.65017312578857,73.03237795829773
131,2018-12-10,07:56:25,972.8,298,91,33.650174802169204,73.03238935768604
132,2018-12-10,07:56:37,979.93,372,88,33.65012023597956,73.03242816589773
133,2018-12-10,07:56:47,981.81,382,85,33.650118224322796,73.03241332992911
134,2018-12-10,07:56:52,982.37,370,79,33.650118140503764,73.03240796551108
135,2018-12-10,07:56:53,982.37,367,74,33.650120152160525,73.03240788169205
136,2018-12-10,07:56:54,982.66,365,70,33.650117637589574,73.0324072111398
137,2018-12-10,07:56:55,982.66,362,67,33.65011855959892,73.0324053671211
138,2018-12-10,07:57:22,986.73,335,70,33.6501628998667,73.03242623806
139,2018-12-10,07:58:16,999.94,423,67,33.650168515741825,73.03235826082528
140,2018-12-10,07:58:20,1002.95,458,72,33.650167006999254,73.03232749924064
141,2018-12-10,07:58:21,1003.59,464,75,33.650163654237986,73.03232171572745
142,2018-12-10,07:58:22,1004.05,464,79,33.65016348659992,73.03231651894748
143,2018-12-10,07:58:23,1004.43,462,83,33.650163067504764,73.03231249563396
144,2018-12-10,07:58:24,1004.82,463,89,33.65016541443765,73.03230763413012
145,2018-12-10,07:58:25,1004.97,454,89,33.65016583353281,73.03230595774949
146,2018-12-10,07:58:28,1006.76,473,92,33.65017597563565,73.03229070268571
147,2018-12-10,07:58:30,1007.98,480,95,33.65018016658723,73.03227854892612
148,2018-12-10,07:58:33,1010.24,498,100,33.650194834917784,73.03226086311042
149,2018-12-10,07:58:34,1010.88,501,100,33.65019659511745,73.03225398994982
150,2018-12-10,07:58:35,1011.5,506,103,33.65020246244967,73.03225080482662
151,2018-12-10,07:58:38,1013.67,520,98,33.65021964535117,73.0322378128767
152,2018-12-10,07:58:39,1014.08,518,101,33.65022283047438,73.03223546594381
153,2018-12-10,07:58:44,1017.36,542,96,33.65024738945067,73.03221627138555
154,2018-12-10,07:58:52,1021.15,555,99,33.65027136169374,73.03220076486468
155,2018-12-10,07:59:18,1038.31,1022,100,33.650222746655345,73.03205424919724
156,2018-12-10,07:59:24,1050.76,1643,100,33.650137670338154,73.03232087753713
157,2018-12-10,07:59:35,1064.59,1543,97,33.65018494427204,73.03246093913913
158,2018-12-10,07:59:40,1068.94,1474,90,33.65021042525768,73.03249807097018
159,2018-12-10,07:59:41,1069.97,1466,93,33.65021428093314,73.03251014091074
160,2018-12-10,07:59:43,1072.26,1458,96,33.65021721459925,73.03253822028637
161,2018-12-10,07:59:56,1084.25,1289,99,33.65026935003698,73.03264986723661
162,2018-12-10,08:00:00,1088.11,984,94,33.650290220975876,73.0326831433922
163,2018-12-10,08:00:27,1094.7,1022,97,33.649953939020634,73.03240830078721
164,2018-12-10,08:00:31,1115.16,1368,98,33.6500333994627,73.03241676650941
165,2018-12-10,08:00:40,1117.82,1193,99,33.65001630038023,73.0324124917388
166,2018-12-10,08:00:42,1118.64,1155,99,33.650011606514454,73.03241718560457
167,2018-12-10,08:00:48,1119.66,1070,98,33.650020407512784,73.03239304572344
168,2018-12-10,08:00:52,1120.88,1023,94,33.65002694539726,73.03237158805132
169,2018-12-10,08:00:55,1121.37,983,91,33.65003189072013,73.03236639127135
170,2018-12-10,08:01:02,1121.7,955,93,33.650075728073716,73.03237385116518
171,2018-12-10,08:01:09,1125.15,945,94,33.650119649246335,73.03235390223563
172,2018-12-10,08:02:02,1139.77,528,91,33.650207659229636,73.03234837017953
173,2018-12-10,08:02:11,1140.61,474,88,33.650205647572875,73.03234342485666
174,2018-12-10,08:02:19,1141.68,438,85,33.65021511912346,73.03234543651342
175,2018-12-10,08:02:34,1144.63,410,82,33.65020195953548,73.03236672654748
176,2018-12-10,08:02:44,1148.25,407,79,33.65019466727972,73.0323411617428
177,2018-12-10,08:02:58,1151.5,373,76,33.65019449964166,73.03236848674715
178,2018-12-10,08:03:35,1155.47,318,79,33.6501975171268,73.03234191611409
179,2018-12-10,08:03:40,1156.46,313,82,33.650202294811606,73.03233076818287
180,2018-12-10,08:03:55,1159.08,285,79,33.65022090263665,73.03234208375216
181,2018-12-10,08:04:25,1163.81,265,76,33.65021386183798,73.03235046565533
182,2018-12-10,08:04:32,1165.59,275,73,33.65019843913615,73.03235951811075
183,2018-12-10,08:04:33,1165.59,272,68,33.65019944496453,73.03236035630107
184,2018-12-10,08:04:34,1165.92,274,68,33.65020204335451,73.03236337378621
185,2018-12-10,08:04:39,1167.05,273,71,33.65019961260259,73.0323570035398
186,2018-12-10,08:04:41,1167.51,271,74,33.650195337831974,73.03235691972077
187,2018-12-10,08:04:47,1168.13,267,80,33.650203719735146,73.03235591389239
188,2018-12-10,08:04:48,1168.39,268,80,33.65020388737321,73.0323590990156
189,2018-12-10,08:04:52,1170.43,298,85,33.650197852402925,73.03237334825099
190,2018-12-10,08:04:53,1171.32,317,89,33.65020455792546,73.03237904794514
191,2018-12-10,08:04:54,1171.77,322,89,33.6502027977258,73.03238491527736
